timestamp,scenario,V_CO_raw,V_NO2_raw,V_PM_raw,T_raw,RH_raw,T_adc,RH_adc,C_CO_corrected,C_NO2_corrected,PM_corrected,C_CO_kalman,C_NO2_kalman,PM_kalman,C_CO_regression,C_NO2_regression,PM_regression,C_CO_true,C_NO2_true,PM_true,AQI_CO_kalman,AQI_NO2_kalman,AQI_PM_kalman,AQI_kalman,risk_score_kalman,category_kalman,AQI_regression,risk_score_regression,alarm_state,fault_flags,kalman_diverge,RMSE_CO_kalman,RMSE_CO_regression
0.000000,1,0.371449,0.276199,0.134717,24.716096,54.945745,24.716569,54.945724,6.550778,48.149575,20.215289,6.550778,48.149575,20.215289,5.196897,72.014288,20.361838,5.000000,58.865606,20.000000,71.507779,45.424127,68.066488,71.507779,0.613461,Moderate,70.189133,0.653677,NORMAL,NONE,False,,
1.000000,1,0.362274,0.278375,0.134319,25.266272,53.703087,25.265551,53.702866,6.502550,50.119206,20.140463,6.502626,50.029492,20.160417,5.047030,71.464655,20.332551,5.005236,58.915614,20.052360,71.026257,47.197634,67.951091,71.026257,0.617637,Moderate,69.603654,0.646198,NORMAL,NONE,False,,
2.000000,1,0.374413,0.333832,0.142151,25.165044,55.870818,25.164753,55.870724,7.684834,84.620096,21.326563,7.682986,83.044533,21.014202,5.239188,86.363922,21.444705,5.010472,58.965595,20.104719,82.829857,81.938742,69.746606,82.829857,0.785930,Moderate,85.474613,0.715489,NORMAL,NONE,False,,
3.000000,1,0.387893,0.292928,0.125929,25.051950,55.743511,25.051710,55.743337,7.110952,58.803100,18.881651,7.111846,59.907269,19.453053,5.436270,75.927346,19.055742,5.015708,59.015548,20.157077,77.118459,57.292526,66.463501,77.118459,0.669829,Moderate,74.357390,0.668404,NORMAL,NONE,False,,
4.000000,1,0.361885,0.308635,0.117279,25.505267,54.324431,25.504714,54.323940,7.075072,69.437791,17.573996,7.075130,69.003687,18.077487,5.047949,79.051007,17.813944,5.020944,59.065474,20.209433,76.751295,66.982189,63.570680,76.751295,0.693779,Moderate,77.684769,0.658624,NORMAL,NONE,False,,
5.000000,1,0.362235,0.277253,0.136633,24.719579,55.707487,24.718721,55.707793,6.417456,48.713188,20.496810,6.418484,49.637397,19.848554,5.064645,72.466156,20.625379,5.026180,59.115372,20.261786,70.184844,46.827733,67.295243,70.184844,0.611430,Moderate,70.670470,0.652396,NORMAL,NONE,False,,
6.000000,1,0.389785,0.277553,0.138226,24.772407,55.374908,24.772556,55.375245,6.844186,49.006911,20.759192,6.843520,49.035629,20.515188,5.464776,72.365313,20.886956,5.031415,59.165242,20.314136,74.435203,46.260028,68.697176,74.435203,0.628525,Moderate,70.563051,0.667675,NORMAL,NONE,False,,
7.000000,1,0.377958,0.314868,0.150659,25.064050,53.719388,25.064402,53.719761,7.429695,73.279955,22.622660,7.428779,72.175654,22.057965,5.278170,81.523782,22.749562,5.036651,59.215085,20.366483,80.287786,70.361022,71.941643,80.287786,0.743096,Moderate,80.318811,0.707040,NORMAL,NONE,False,,
8.000000,1,0.359754,0.266315,0.123408,24.759927,54.146071,24.759594,54.145497,6.205614,42.085374,18.522173,6.207526,43.455952,19.469586,5.019176,69.250366,18.729578,5.041887,59.264899,20.418825,68.075259,40.996181,66.498270,68.075259,0.581245,Moderate,67.244955,0.626855,NORMAL,NONE,False,,
9.000000,1,0.375285,0.285081,0.148008,25.344006,56.138281,25.343669,56.138365,6.774909,53.821574,22.200541,6.774022,53.349432,21.468783,5.251582,73.404548,22.301339,5.047122,59.314686,20.471161,73.740221,500.000000,70.702592,500.000000,2.220199,Hazardous,72.453460,0.673011,ALARM,NONE,False,,
10.000000,1,0.360545,0.294144,0.160484,24.743404,55.309416,24.743191,55.309339,6.721417,59.451380,24.096049,6.721499,59.173443,23.392076,5.039091,76.712168,24.142305,5.052357,59.364444,20.523492,73.214994,56.510842,74.747283,74.747283,0.678282,Moderate,76.325020,0.689520,WARNING,NONE,False,,
11.000000,1,0.360860,0.295769,0.133381,25.223152,54.435697,25.223295,54.435519,6.795289,60.948883,20.009981,6.795174,60.868014,20.916211,5.034778,76.129325,20.183840,5.057592,59.414173,20.575817,73.951738,58.315928,69.540529,73.951738,0.671558,Moderate,74.572542,0.662222,NORMAL,NONE,False,,
12.000000,1,0.371825,0.290038,0.124598,25.069914,54.141524,25.070318,54.141867,6.852874,57.365750,18.699644,6.852784,57.525274,19.293571,5.192585,74.926879,18.908797,5.062827,59.463874,20.628135,74.527838,54.755183,66.128111,74.527838,0.650875,Moderate,73.291675,0.655218,NORMAL,NONE,False,,
13.000000,1,0.339846,0.301615,0.133786,25.237463,54.484606,25.237508,54.484644,6.593089,64.736425,20.043403,6.593495,64.407965,19.842486,4.729407,77.674704,20.215823,5.068062,59.513545,20.680445,71.934949,62.086745,67.282481,71.934949,0.670923,Moderate,76.218706,0.657498,NORMAL,NONE,False,,
14.000000,1,0.343021,0.307633,0.138345,24.910129,54.555520,24.909484,54.555361,6.742439,68.379075,20.763009,6.742206,68.198195,20.516356,4.779290,79.884877,20.908615,5.073297,59.563188,20.732747,73.422062,66.124165,68.699632,73.422062,0.694511,Moderate,78.573022,0.671854,NORMAL,NONE,False,,
15.000000,1,0.360810,0.308547,0.144191,24.980456,54.154037,24.980641,54.154390,7.036739,69.071759,21.623355,7.036278,69.031969,21.326736,5.033670,79.973261,21.759525,5.078531,59.612802,20.785039,76.362783,67.012315,70.403864,76.362783,0.713024,Moderate,78.667169,0.686456,NORMAL,NONE,False,,
16.000000,1,0.354401,0.274216,0.132988,25.208005,53.258236,25.207077,53.258150,6.312895,47.540897,19.946426,6.314026,48.519791,20.316279,4.928894,70.488876,20.155881,5.083765,59.662386,20.837323,69.140255,45.773387,68.278870,69.140255,0.607034,Moderate,68.564238,0.637311,NORMAL,NONE,False,,
17.000000,1,0.374657,0.288327,0.154802,25.271037,56.140013,25.270773,56.140575,6.820795,55.780335,23.217553,6.820003,55.449626,22.440159,5.241519,74.361043,23.292274,5.088999,59.711941,20.889596,74.200031,52.544167,72.745398,74.200031,0.661841,Moderate,74.537400,0.682477,NORMAL,NONE,False,,
18.000000,1,0.356673,0.317984,0.128453,25.177899,55.970634,25.178670,55.970219,7.116789,74.552935,19.250781,7.116325,73.682801,20.105372,4.980959,82.213829,19.415988,5.094232,59.761467,20.941858,77.163250,71.966462,67.835332,77.163250,0.725460,Moderate,81.053861,0.678179,NORMAL,NONE,False,,
19.000000,1,0.349458,0.312059,0.122555,26.042681,53.726745,26.042907,53.727374,6.987963,72.060914,18.356444,6.988163,72.134789,18.825068,4.857880,78.981397,18.605391,5.099466,59.810963,20.994109,75.881632,70.317492,65.142847,75.881632,0.707125,Moderate,77.610618,0.656706,NORMAL,NONE,False,,
20.000000,1,0.392977,0.266787,0.151362,24.704632,55.136311,24.704702,55.136504,6.690737,42.253819,22.723835,6.691202,43.614863,21.679163,5.510167,69.649559,22.804699,5.104698,59.860428,21.046347,72.912022,41.146097,71.145022,72.912022,0.612638,Moderate,73.512028,0.671238,NORMAL,NONE,False,,
21.000000,1,0.367955,0.301352,0.117897,25.177898,54.097762,25.177669,54.097717,7.017010,64.643551,17.685451,7.016500,63.685718,18.755563,5.135850,77.713104,17.921938,5.109931,59.909864,21.098573,76.165003,61.317396,64.996677,76.165003,0.676178,Moderate,76.259610,0.657394,NORMAL,NONE,False,,
22.000000,1,0.372704,0.254835,0.138950,24.433185,54.738433,24.433733,54.738053,6.158867,34.700958,20.873362,6.160207,36.021180,20.305899,5.212775,67.010933,21.000228,5.115163,59.959270,21.150785,67.602074,33.982245,68.257041,68.257041,0.560316,Moderate,69.717218,0.639607,NORMAL,NONE,False,,
23.000000,1,0.350670,0.295416,0.172516,25.416041,54.655233,25.416341,54.654902,6.640367,60.783235,25.855070,6.639616,59.655352,24.368174,4.888571,75.686936,25.892984,5.120395,60.008645,21.202984,72.396165,57.024179,76.800023,76.800023,0.683371,Moderate,80.006704,0.691475,NORMAL,NONE,False,,
24.000000,1,0.364225,0.332511,0.141567,24.682377,54.572166,24.682592,54.573168,7.524828,84.058870,21.259993,7.523444,82.947318,22.092827,5.089757,86.854893,21.386422,5.125627,60.057990,21.255168,81.234440,81.835186,72.014959,81.835186,0.786789,Moderate,85.997604,0.711721,NORMAL,NONE,False,,
25.000000,1,0.374404,0.275675,0.130827,25.110845,57.002947,25.110870,57.002544,6.553802,47.518055,19.614071,6.555318,49.131818,20.278251,5.239920,71.706436,19.764592,5.130858,60.107304,21.307336,71.553181,46.350771,68.198898,71.553181,0.617261,Moderate,69.861204,0.650267,NORMAL,NONE,False,,
26.000000,1,0.355824,0.278024,0.141808,25.073968,54.559674,25.073587,54.559780,6.372725,49.550054,21.258644,6.373011,49.531004,20.995948,4.964098,71.735476,21.395551,5.136089,60.156587,21.359489,69.730106,46.727362,69.708218,69.730106,0.616726,Moderate,70.548583,0.651012,NORMAL,NONE,False,,
27.000000,1,0.379074,0.310069,0.142222,25.410446,54.191736,25.410671,54.192293,7.360110,70.358230,21.318074,7.358567,69.409574,21.231760,5.296926,79.607683,21.471101,5.141319,60.205840,21.411625,79.585669,67.414546,70.204131,79.585669,0.725113,Moderate,78.277749,0.692487,NORMAL,NONE,False,,
