timestamp,scenario,V_CO_raw,V_NO2_raw,V_PM_raw,T_raw,RH_raw,T_adc,RH_adc,C_CO_corrected,C_NO2_corrected,PM_corrected,C_CO_kalman,C_NO2_kalman,PM_kalman,C_CO_regression,C_NO2_regression,PM_regression,C_CO_true,C_NO2_true,PM_true,AQI_CO_kalman,AQI_NO2_kalman,AQI_PM_kalman,AQI_kalman,risk_score_kalman,category_kalman,AQI_regression,risk_score_regression,alarm_state,fault_flags,kalman_diverge,RMSE_CO_kalman,RMSE_CO_regression
0.000000,3,0.887699,0.632800,0.488877,-5.471606,87.449365,-5.471102,87.450018,15.805720,189.050476,49.995060,15.805720,189.050476,49.995060,11.253877,273.179085,77.629772,10.000000,200.000000,49.216240,203.031292,117.658198,136.691353,203.031292,1.532487,Very Unhealthy,162.426331,1.412010,ALARM,NONE,False,,
1.000000,3,0.885195,0.643746,0.498392,-4.645551,87.132572,-4.645458,87.132264,16.001649,195.115032,51.134976,16.001343,194.838799,50.830998,11.243681,270.618401,78.906792,10.104528,203.487824,50.380274,204.331068,118.753286,138.749694,204.331068,1.547044,Very Unhealthy,163.085699,1.411690,ALARM,NONE,False,,
2.000000,3,0.903950,0.680954,0.506986,-5.374187,88.660258,-5.373773,88.660498,16.570032,209.142490,50.854101,16.569143,208.490973,50.847913,11.349471,281.868351,80.677972,10.207912,206.958655,51.163152,208.103701,121.336130,138.791344,208.103701,1.569413,Very Unhealthy,164.000217,1.428139,ALARM,NONE,False,,
3.000000,3,0.887773,0.702543,0.506059,-5.825126,87.951806,-5.825350,87.951270,16.660344,218.538047,51.372475,16.660202,218.080414,51.231923,11.194280,282.288259,80.312081,10.309017,210.395585,51.141879,208.708723,123.150349,139.736895,208.708723,1.580717,Very Unhealthy,163.811296,1.418672,ALARM,NONE,False,,
4.000000,3,0.913717,0.710249,0.513477,-4.931436,88.616069,-4.931263,88.616167,17.110024,222.615793,51.483504,17.109321,222.409212,51.416093,11.500237,283.102953,81.594883,10.406737,213.781868,51.286216,211.692801,123.969310,140.190380,211.692801,1.595389,Very Unhealthy,164.473649,1.439293,ALARM,NONE,False,,
5.000000,3,0.909282,0.677315,0.499359,-4.166824,89.048974,-4.166737,89.048754,16.671567,208.903454,49.648890,16.672252,209.518626,50.122410,11.371555,279.802136,79.638799,10.500000,217.101007,51.277818,208.788785,121.530551,137.004930,208.788785,1.567132,Very Unhealthy,163.463658,1.426467,ALARM,NONE,False,,
6.000000,3,0.909212,0.724843,0.526499,-6.270759,90.119240,-6.270083,90.119647,17.040290,225.506395,51.717152,17.039715,224.778171,51.289842,11.245888,293.741256,84.034739,10.587785,220.336832,51.764828,211.230318,124.417492,139.879511,211.230318,1.594406,Very Unhealthy,165.733427,1.435074,ALARM,NONE,False,,
7.000000,3,0.921804,0.676995,0.502771,-4.996387,89.809152,-4.996821,89.809449,16.699291,206.938122,49.480341,16.699823,207.750716,49.965196,11.471312,285.059932,80.396536,10.669131,223.473578,50.965326,208.971977,121.196081,136.617818,208.971977,1.565442,Very Unhealthy,163.854903,1.437022,ALARM,NONE,False,,
8.000000,3,0.933139,0.715670,0.518891,-4.493504,88.486372,-4.493114,88.486085,17.458676,225.714481,52.086220,17.457490,224.896253,51.517893,11.814346,281.941929,82.341038,10.743145,226.495963,51.827831,214.006141,124.439832,140.441044,214.006141,1.605884,Very Unhealthy,164.858913,1.458255,ALARM,NONE,False,,
9.000000,3,0.965875,0.736386,0.529449,-5.721748,88.166647,-5.722239,88.166768,18.017662,233.174169,53.553770,18.016787,232.797119,53.008258,12.368842,285.779331,83.818933,10.809017,229.389263,52.181396,217.722273,125.934590,144.110787,217.722273,1.635131,Very Unhealthy,165.621999,1.495877,ALARM,NONE,False,,
10.000000,3,0.943787,0.691664,0.515401,-4.895555,91.162763,-4.895615,91.162097,17.081434,212.228195,49.681987,17.082896,213.165086,50.573258,11.625241,291.616995,82.719918,10.866025,232.139380,51.918340,211.517227,122.220422,138.115059,211.517227,1.582427,Very Unhealthy,165.054541,1.454065,ALARM,NONE,False,,
11.000000,3,0.937622,0.781337,0.501245,-5.337506,88.015796,-5.337405,88.015585,18.319889,253.577751,50.779987,18.317955,251.737000,50.724594,11.948977,288.249920,79.610734,10.913545,234.732919,51.430562,219.723327,129.517811,138.487695,219.723327,1.637807,Very Unhealthy,163.449167,1.466165,ALARM,NONE,False,,
12.000000,3,0.962161,0.771869,0.526778,-5.250256,89.288326,-5.249748,89.287515,18.415612,248.242726,52.301489,18.415459,248.401886,51.878961,12.163980,291.837581,83.774745,10.951057,237.157241,52.271693,220.371172,128.886843,141.330105,220.371172,1.646393,Very Unhealthy,165.599183,1.487705,ALARM,NONE,False,,
